,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Hotel Lat,Hotel Lng,Hotel Name
0,barrow,71.2906,-156.7887,10.4,79,1,6.69,US,1619445931,71.2978529,-156.7711574,Top of the World Hotel
1,waspan,14.7419,-83.9717,80.6,83,20,3.09,NI,1619446125,14.7442969,-83.9719954,El Piloto Hotel
2,pangnirtung,66.1451,-65.7125,37.4,87,90,3.09,CA,1619446126,66.1476793,-65.71333849999999,Auyuittuq Lodge (Inns North)
3,avarua,-21.2078,-159.775,69.8,100,54,1.03,CK,1619446127,-21.1991091,-159.7953621,The Islander Hotel
4,yerbogachen,61.2767,108.0108,19.83,73,91,4.65,RU,1619446128,,,
5,soyo,-6.1349,12.3689,87.8,74,75,3.6,AO,1619446128,-6.1637984,12.352401,"Kinwica Resort-Hotel (Soyo, Angola)"
6,keti bandar,24.1447,67.4497,83.88,70,0,6.82,PK,1619446128,,,
7,port elizabeth,-33.918,25.5701,64.4,77,0,8.75,ZA,1619445948,-33.94592,25.593,Island Way Villa
8,amderma,-33.65,115.3333,61.0,86,100,0.45,AU,1619446129,-33.6596926,115.2786132,The Sebel Busselton
9,busselton,65.282,-126.8329,12.2,67,90,4.12,CA,1619446129,65.2779194,-126.8132154,Heritage Hotel
10,norman wells,7.9803,49.8164,85.82,63,100,4.34,SO,1619446129,7.9833646,49.8177064,DAAWAD HOTEL EYL
11,eyl,3.0707,172.7902,83.03,75,96,6.61,KI,1619446130,,,
12,butaritari,49.058,-122.4709,46.99,93,90,0.22,CA,1619446131,49.0587102,-122.4923643,Best Western Plus Country Meadows Inn
13,aldergrove,42.6001,-73.9662,42.01,41,8,1.34,US,1619445609,,,
14,albany,77.484,-69.3632,36.1,68,37,3.86,GL,1619445870,77.4692867,-69.2315911,Qaanaaq Hotel
15,qaanaaq,72.7868,-56.1549,36.39,86,100,2.4,GL,1619446132,72.78192059999999,-56.1512828,Café de Upernavik
16,upernavik,51.7716,52.7427,54.05,37,100,1.76,RU,1619446133,51.7654736,52.7529563,"Gostinitsa ""Uyutnaya"""
17,tashla,48.2193,26.2653,52.0,49,99,1.34,UA,1619446134,48.22989399999999,26.2694789,"Hotelʹno-Restorannyy Kompleks ""Valeriya"""
18,novoselytsya,62.456,-114.3525,-4.0,71,75,6.17,CA,1619446134,62.4575798,-114.372667,The Explorer Hotel
19,yellowknife,5.4112,100.3354,86.0,74,20,1.54,MY,1619445938,5.4231701,100.3357086,"Eastern & Oriental Hotel, Penang"
20,georgetown,65.6145,-37.6368,39.2,75,90,4.36,GL,1619446012,65.6091667,-37.63277780000001,Hotel Angmagssalik
21,attawapiskat,29.6994,-91.2068,70.0,100,1,2.57,US,1619446136,29.6963849,-91.18159089999999,Holiday Inn Express & Suites Morgan City - Tiger Island
22,tasiilaq,-0.9492,100.3543,78.8,94,40,2.06,ID,1619445844,-0.9239533000000001,100.3506119,Hotel Pangeran Beach
23,morgan city,60.7522,-137.5108,24.8,86,1,0.51,CA,1619446137,60.7509613,-137.509796,Parkside Inn
24,padang,71.9167,114.0833,-0.76,100,71,3.05,RU,1619446137,,,
25,haines junction,-53.15,-70.9167,42.8,100,90,1.03,CL,1619445971,-53.1659523,-70.9062125,Hotel Dreams Del Estrecho
26,saskylakh,28.0996,-16.681,73.0,68,75,3.6,ES,1619446137,28.0759858,-16.7337274,Hotel Jardín Tropical
27,punta arenas,-10.7073,22.2247,75.54,71,47,1.91,AO,1619445984,-10.7050983,22.2284206,Kimbo Hotel
28,arona,57.79,-152.4072,42.8,75,90,5.14,US,1619446138,57.78860899999999,-152.4119649,Best Western Kodiak Inn And Convention Center
29,luau,-20.3428,57.7575,78.8,78,75,7.2,MU,1619445898,-20.368109,57.719727,La Hacienda Hotel
30,kodiak,-21.3585,55.7679,78.8,73,20,7.2,RE,1619446138,-21.3692006,55.7279486,Les Embruns Du Baril
31,bambous virieux,64.2539,-15.2082,44.6,53,40,9.26,IS,1619445989,,,
32,saint-philippe,-27.55,151.9667,59.0,82,90,3.09,AU,1619446139,-27.564045,151.953084,Burke & Wills Hotel
33,hofn,-42.7826,147.0587,48.99,80,33,0.89,AU,1619445883,-42.77937379999999,147.0578732,The Woodbridge
34,toowoomba,15.1333,-23.2167,78.8,53,20,11.83,CV,1619446140,15.177069,-23.2304554,Bela Vista Maio Beach
35,taolanaro,-23.1203,-134.9692,77.09,75,11,2.4,PF,1619446140,,,
36,new norfolk,39.2167,-2.15,62.01,72,75,4.63,ES,1619446141,39.1938172,-2.1461846,Hostal Restaurante EL POLIGONO
37,vila do maio,-37.6167,-73.65,56.43,74,0,4.89,CL,1619446141,-37.6108295,-73.6556162,Hotel Plaza Lebu
38,rikitea,-34.4187,19.2345,72.0,61,6,0.89,ZA,1619446141,-34.4211674,19.2431805,Harbour House Hotel
39,la roda,38.0,37.0,75.2,31,20,11.83,TR,1619446143,,,
40,lebu,-46.6,168.3333,42.01,84,82,7.63,NZ,1619446143,-46.60016359999999,168.3461434,Foveaux Hotel
41,hermanus,61.9875,5.1352,48.2,49,20,3.6,NO,1619446144,61.98468399999999,5.1687574,Ulvesund FYR
42,kahramanmaras,-33.5906,26.891,79.3,57,100,5.49,ZA,1619445916,-33.5943286,26.8932478,The Halyards Hotel
43,bluff,71.0357,27.8492,35.6,64,75,6.69,NO,1619446145,71.03911339999999,27.8525496,Mehamn Arctic Hotel AS
44,raudeberg,69.4541,-133.0374,3.2,78,40,4.12,CA,1619446146,69.44260899999999,-133.0397,Hunter's B&B
45,port alfred,-22.9575,14.5053,78.8,44,0,6.69,,1619446146,-22.9613616,14.4827297,Protea Hotel by Marriott Walvis Bay Pelican Bay
46,ituni,-38.2667,141.9667,56.75,74,98,1.98,AU,1619446147,-38.2846732,142.0097987,Codrington Gardens Bed And Breakfast
47,mehamn,65.5833,-171.0,19.04,80,56,2.77,RU,1619446148,,,
48,tuktoyaktuk,-45.5752,-72.0662,53.6,62,75,1.54,CL,1619446124,-45.58981,-72.068596,Patagonia House
49,walvis bay,-33.2333,-54.3833,64.2,61,0,5.18,UY,1619446148,-33.230363,-54.387331,El Secreto Hotel Boutique
50,codrington,-8.9266,125.4092,56.17,75,9,0.81,TL,1619446149,,,
51,lavrentiya,42.097,-79.2353,39.99,64,1,6.69,US,1619446107,42.110095,-79.2851245,Chautauqua Harbor Hotel
52,vaitupu,42.975,144.3747,31.24,78,3,3.01,JP,1619445927,42.9847237,144.3804113,Kushiro Prince Hotel
53,saleaula,73.5069,80.5464,31.82,98,100,8.66,RU,1619446149,,,
54,coihaique,67.6803,53.1512,38.26,97,100,2.08,RU,1619446149,67.674654,53.132046,"""Avantage"" hotel"
55,treinta y tres,32.6667,-17.1,66.99,83,37,1.34,PT,1619446077,32.6798221,-17.1033613,Estalagem Da Ponta Do Sol
56,airai,42.6056,-83.1499,39.0,65,90,4.12,US,1619445870,42.56343890000001,-83.1517257,Detroit Marriott Troy
57,jamestown,-33.8667,121.9,64.4,59,100,1.54,AU,1619446150,-33.8586716,121.8955797,Comfort Inn Bay Of Isles
58,kushiro,49.9122,16.6119,53.01,34,34,1.79,CZ,1619446150,49.91465119999999,16.6132925,Hotel Forea
59,bur gabo,59.7,150.1667,13.28,89,15,1.63,RU,1619446151,,,
60,dikson,37.4636,-122.4286,48.0,93,75,1.49,US,1619446151,37.5019127,-122.4743659,Beach House - Half Moon Bay
61,iskateley,30.4833,-115.95,56.93,85,100,2.35,MX,1619446151,30.4871839,-115.9788888,Don Eddie's Landing
62,ponta do sol,53.0452,158.6483,35.6,100,90,2.0,RU,1619446085,53.03749999999999,158.6558333,Avacha Hotel
63,troy,66.0449,-17.3389,37.4,81,40,4.12,IS,1619446151,66.0460305,-17.3397434,Fosshotel Húsavík
64,esperance,59.7035,30.7861,41.0,87,75,3.0,RU,1619446152,,,
65,lanskroun,-20.7511,-51.6783,78.51,50,97,2.91,BR,1619445943,-20.7810658,-51.7032018,Taj Hotel
66,arman,40.4272,71.7189,80.6,19,0,2.06,UZ,1619446153,40.4416845,71.71644549999999,Diyor hotel
67,half moon bay,-24.7911,-50.0119,68.52,65,3,0.6,BR,1619446153,-24.789677,-50.0062751,Hotel Buganville Express
68,san quintin,34.2576,-88.7034,62.6,67,1,2.57,US,1619446017,34.2710396,-88.7163839,Holiday Inn & Suites Tupelo North
69,petropavlovsk-kamchatskiy,-32.035,-52.0986,71.6,64,40,5.14,BR,1619446052,-32.0479344,-52.1453493,Hotel Costa Doce
70,husavik,68.75,161.3,4.17,96,52,2.43,RU,1619446154,,,
71,nikolskoye,-3.1019,-60.025,80.6,83,75,2.06,BR,1619446155,-3.1296895,-60.024714,Hotel Villa Amazônia
72,tres lagoas,-46.1927,168.8643,42.01,84,100,2.78,NZ,1619446155,-46.19353110000001,168.8649695,Falls Hotel
73,komsomolskiy,-33.2926,23.4895,81.9,18,100,7.15,ZA,1619446155,-33.2963913,23.4848349,Royal Hotel
74,castro,27.9769,-114.0611,59.7,71,100,3.13,MX,1619446156,27.9677576,-114.0283356,Hotel Los Caracoles
75,tupelo,37.2647,-6.5167,66.99,76,100,1.79,ES,1619446156,37.26155,-6.51577,"Hotel Tamarindos, Los"
76,rio grande,22.0752,-159.319,73.4,78,75,5.14,US,1619446156,22.0786593,-159.3149317,Hotel Coral Reef
77,cherskiy,22.6783,-3.9836,105.98,8,58,2.3,ML,1619446157,,,
78,manaus,68.0531,39.5131,31.05,84,100,9.99,RU,1619446158,,,
79,illoqqortoormiut,-51.6226,-69.2181,48.2,71,75,1.03,AR,1619446130,-51.6215486,-69.2170402,Hotel Patagonia
80,mataura,65.7,82.4667,29.1,90,17,5.23,RU,1619446159,65.7048094,82.4638738,Krasnosel'kupnefteprodukt
81,willowmore,-21.2,-175.2,77.0,94,75,3.09,TO,1619446160,-21.1553145,-175.1771504,Paradise First Hotel
82,guerrero negro,-0.7393,-90.3518,78.8,83,75,6.17,EC,1619446161,-0.7426328,-90.3098144,Galapagos Habitat by Eco Luxury Group
83,almonte,-22.092,-70.1979,70.77,58,0,3.09,CL,1619446161,-22.0800553,-70.1932312,Hostal Paraiso
84,kapaa,-3.5534,143.6268,79.41,81,34,1.17,PG,1619446162,-3.5489598,143.6297775,In Wewak Boutique Hotel
85,taoudenni,-14.55,48.7333,69.64,90,76,0.95,MG,1619446163,,,
86,ostrovnoy,-22.9661,-42.0278,78.8,83,20,3.6,BR,1619446163,-22.9587565,-42.0259149,Ocean View Hotel
87,rio gallegos,-18.2494,-43.6003,77.02,42,82,1.01,BR,1619446164,-18.2504681,-43.5949918,Pousada do Garimpo - Diamantina / MG
